vin_1_10,county,state,model_year,make,ev_type,electric_range
1FTZR0813X,PIERCE,WA,1999,FORD,BATTERY ELECTRIC VEHICLE (BEV),74
1FTZR0812X,PIERCE,WA,1999,FORD,BATTERY ELECTRIC VEHICLE (BEV),74
1FTZR0817Y,KING,WA,2000,FORD,BATTERY ELECTRIC VEHICLE (BEV),58
1FTZR0870Y,SAN JUAN,WA,2000,FORD,BATTERY ELECTRIC VEHICLE (BEV),58
1FTZR0819Y,KING,WA,2000,FORD,BATTERY ELECTRIC VEHICLE (BEV),58
1FTZR0816Y,KING,WA,2000,FORD,BATTERY ELECTRIC VEHICLE (BEV),58
1FTZR0879Y,WHATCOM,WA,2000,FORD,BATTERY ELECTRIC VEHICLE (BEV),58
1FTZR0813Y,WHATCOM,WA,2000,FORD,BATTERY ELECTRIC VEHICLE (BEV),58
JT3GS10V02,CLALLAM,WA,2002,TOYOTA,BATTERY ELECTRIC VEHICLE (BEV),95
JT3GS10VX3,SAN JUAN,WA,2003,TOYOTA,BATTERY ELECTRIC VEHICLE (BEV),95
SFZRE11B98,SAN JUAN,WA,2008,TESLA,BATTERY ELECTRIC VEHICLE (BEV),0
5YJRE11B88,KING,WA,2008,TESLA,BATTERY ELECTRIC VEHICLE (BEV),220
5YJRE11B78,KITSAP,WA,2008,TESLA,BATTERY ELECTRIC VEHICLE (BEV),220
5YJRE11B08,KING,WA,2008,TESLA,BATTERY ELECTRIC VEHICLE (BEV),220
5YJRE11B18,SNOHOMISH,WA,2008,TESLA,BATTERY ELECTRIC VEHICLE (BEV),220
5YJRE11B98,KING,WA,2008,TESLA,BATTERY ELECTRIC VEHICLE (BEV),220
5YJRE11B68,KING,WA,2008,TESLA,BATTERY ELECTRIC VEHICLE (BEV),220
5YJRE11BX8,KING,WA,2008,TESLA,BATTERY ELECTRIC VEHICLE (BEV),220
5YJRE11B58,KING,WA,2008,TESLA,BATTERY ELECTRIC VEHICLE (BEV),220
5YJRE11B28,SPOKANE,WA,2008,TESLA,BATTERY ELECTRIC VEHICLE (BEV),220
5YJRE11B38,KING,WA,2008,TESLA,BATTERY ELECTRIC VEHICLE (BEV),220
1W9WL21BXA,SPOKANE,WA,2010,WHEEGO ELECTRIC CARS,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),100
1W9WL21B6A,THURSTON,WA,2010,WHEEGO ELECTRIC CARS,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),100
5YJRE1A15A,KING,WA,2010,TESLA,BATTERY ELECTRIC VEHICLE (BEV),245
5YJRE1A16A,KING,WA,2010,TESLA,BATTERY ELECTRIC VEHICLE (BEV),245
5YJRE1A14A,KING,WA,2010,TESLA,BATTERY ELECTRIC VEHICLE (BEV),245
5YJRE1A1XA,KING,WA,2010,TESLA,BATTERY ELECTRIC VEHICLE (BEV),245
5YJRE1A32A,ISLAND,WA,2010,TESLA,BATTERY ELECTRIC VEHICLE (BEV),245
5YJRE1A11A,KING,WA,2010,TESLA,BATTERY ELECTRIC VEHICLE (BEV),245
5YJRE1A18A,KING,WA,2010,TESLA,BATTERY ELECTRIC VEHICLE (BEV),245
5YJRE1A35A,KITSAP,WA,2010,TESLA,BATTERY ELECTRIC VEHICLE (BEV),245
5YJRE1A12A,KING,WA,2010,TESLA,BATTERY ELECTRIC VEHICLE (BEV),245
5YJRE1A38A,KING,WA,2010,TESLA,BATTERY ELECTRIC VEHICLE (BEV),245
5YJRE1A39A,PIERCE,WA,2010,TESLA,BATTERY ELECTRIC VEHICLE (BEV),245
1G1RD6E43B,KING,WA,2011,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RD6E41B,CLARK,WA,2011,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RD6E47B,CLALLAM,WA,2011,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RC6E49B,SPOKANE,WA,2011,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RC6E4XB,CLARK,WA,2011,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RD6E42B,KING,WA,2011,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RD6E46B,KING,WA,2011,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RD6E40B,CLALLAM,WA,2011,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RC6E42B,SNOHOMISH,WA,2011,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RD6E4XB,CLARK,WA,2011,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RC6E45B,KING,WA,2011,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RD6E48B,GRANT,WA,2011,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RD6E49B,KING,WA,2011,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RD6E44B,KING,WA,2011,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RD6E45B,KING,WA,2011,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
537LS7D49B,KING,WA,2011,AZURE DYNAMICS,BATTERY ELECTRIC VEHICLE (BEV),56
537LS7D41B,WHATCOM,WA,2011,AZURE DYNAMICS,BATTERY ELECTRIC VEHICLE (BEV),56
537LS7D48B,KING,WA,2011,AZURE DYNAMICS,BATTERY ELECTRIC VEHICLE (BEV),56
JN1AZ0CP6B,BENTON,WA,2011,NISSAN,BATTERY ELECTRIC VEHICLE (BEV),73
JN1AZ0CP8B,CLALLAM,WA,2011,NISSAN,BATTERY ELECTRIC VEHICLE (BEV),73
JN1AZ0CP0B,CLARK,WA,2011,NISSAN,BATTERY ELECTRIC VEHICLE (BEV),73
JN1AZ0CP4B,BENTON,WA,2011,NISSAN,BATTERY ELECTRIC VEHICLE (BEV),73
JN1AZ0CPXB,ADAMS,WA,2011,NISSAN,BATTERY ELECTRIC VEHICLE (BEV),73
JN1AZ0CP1B,BENTON,WA,2011,NISSAN,BATTERY ELECTRIC VEHICLE (BEV),73
JN1AZ0CP2B,CLALLAM,WA,2011,NISSAN,BATTERY ELECTRIC VEHICLE (BEV),73
JN1AZ0CP7B,CLARK,WA,2011,NISSAN,BATTERY ELECTRIC VEHICLE (BEV),73
JN1AZ0CP5B,BENTON,WA,2011,NISSAN,BATTERY ELECTRIC VEHICLE (BEV),73
JN1AZ0CP9B,BENTON,WA,2011,NISSAN,BATTERY ELECTRIC VEHICLE (BEV),73
JN1AZ0CP3B,BENTON,WA,2011,NISSAN,BATTERY ELECTRIC VEHICLE (BEV),73
